wavelength / nm,EQE / %
300,8
309.5011876,9.8181818
319.0023753,12.3636364
326.128266,16.3636364
330.8788599,23.6363636
338.0047506,29.4545455
347.5059382,36
352.2565321,43.2727273
357.0071259,47.6363636
364.1330166,52
371.2589074,59.6363636
371.2589074,65.4545455
378.3847981,70.9090909
387.8859857,74.1818182
395.0118765,78.1818182
406.888361,82.1818182
414.0142518,85.0909091
425.8907363,88.7272727
435.391924,91.2727273
452.0190024,93.4545455
468.6460808,95.2727273
487.6484561,96.7272727
506.6508314,97.8181818
525.6532067,98.9090909
547.0308789,98.9090909
558.9073634,97.8181818
568.4085511,98.9090909
577.9097387,99.6363636
604.0380048,99.6363636
618.2897862,98.1818182
642.0427553,98.9090909
658.6698337,98.9090909
677.672209,97.4545455
684.7980998,95.6363636
699.0498812,98.1818182
720.4275534,96.7272727
741.8052257,95.2727273
763.1828979,95.6363636
784.5605701,95.2727273
803.5629454,93.8181818
827.3159145,93.8181818
843.9429929,93.8181818
853.4441805,93.4545455
858.1947743,91.6363636
860.5700713,89.8181818
862.9453682,88.3636364
865.3206651,85.4545455
865.3206651,82.1818182
867.695962,78.5454545
867.695962,75.6363636
867.695962,71.6363636
870.0712589,69.0909091
870.0712589,65.0909091
870.0712589,62.5454545
872.4465558,59.6363636
872.4465558,57.4545455
874.8218527,53.0909091
874.8218527,48.7272727
877.1971496,43.6363636
877.1971496,39.6363636
877.1971496,36.7272727
877.1971496,34.1818182
879.5724466,29.0909091
879.5724466,24.7272727
879.5724466,22.1818182
881.9477435,18.1818182
881.9477435,16.7272727
881.9477435,15.6363636
886.6983373,12
889.0736342,9.4545455
891.4489311,6.5454545
891.4489311,5.0909091
896.1995249,2.5454545
898.5748219,0
